line_no,news_id,source,title,new_decision,new_category,new_risk_tier,changed
71,d95f1c9f86131df294358556f45a9d8c,TASS,Зеленский впервые прибыл в Сербию,allow,NON_TOPICAL,green,True
74,3d344a7e53604a6dd3efefe9360a6f17,TASS,Лукашенко подарили изготовленный по стандартам НАТО белорусский бинокль,allow,NON_TOPICAL,green,True
76,3e97344046fbb21d0e1397d2d9a4bf36,TASS,"Отмену регистрации списка ""Яблока"" в Заксобрание Карелии признали законной",allow,NON_TOPICAL,green,True
81,c4fa6eb512fd4519e0cc2e64390d8b99,TASS,Памятник деревянного зодчества в Сестрорецке восстановят в дореволюционном облике,allow,NON_TOPICAL,green,True
84,5e58ecd1349db09ed2fc965abebc7971,TASS,"Швыдкой заявил, что ""Интервидение"" состоится в 2026 году",allow,NON_TOPICAL,green,True
88,f625347253a6e3bf9cf955ad8ac28b8e,TASS,"В генконсульстве РФ в Анталье заявили, что россиян среди пострадавших в ДТП нет",allow,,green,True
89,c5da1574e1f71ec878a07d451701b931,TASS,LRT: литовец протаранил шлагбаумы на КПП и попытался пересечь границу с Россией,allow,NON_TOPICAL,green,True
92,2d5072794d8f6606bbfe59f64d3a03bf,TASS,Нарколог Холдин развеял мифы об алкоголе во время грудного вскармливания,allow,NON_TOPICAL,green,True
94,175487671d1fa66a25d2ab120566e255,TASS,"В СК назвали недостоверной данные о сообщении жены Усольцева, полученном другом",allow,NON_TOPICAL,green,True
96,97359e59ad5a2315f3196d52722453cb,TASS,Хай-дайвер Истомин хочет совершить прыжок с парашютом,allow,NON_TOPICAL,green,True
97,99cbdd6c3cb3e2e0de5b2a2074e23d9a,TASS,Бельгия отправит 30 военных в Гренландию в составе миссии НАТО Arctic Sentry,allow,NON_TOPICAL,green,True
99,cf3492420aa679ad318517d8364e03ba,TASS,На фиолетовой ветке Московского метро увеличивали интервалы,allow,NON_TOPICAL,green,True
301,07b9a3bc6fe8a013da7e2d275f772d6b,TASS,CENTCOM: США перенаправили более 50 судов с момента возобновления блокады Ирана,allow,NON_TOPICAL,green,True
303,b29e1431d0cb3115104c362ecfc3ea31,TASS,Залужный возглавил рейтинг доверия на Украине,allow,NON_TOPICAL,green,True
401,7b218612cd0c73eea8c963466209c448,TASS,"""Страна"" сообщает, что на Украине сотрудники ТЦК схватили мужчину на огороде",allow,NON_TOPICAL,green,True
601,c31821d3758092695414d3d1f9490abd,TASS,Россия и Пакистан работают над запуском первого грузового ж/д маршрута,allow,NON_TOPICAL,green,True
605,07b9a3bc6fe8a013da7e2d275f772d6b,TASS,США перенаправили более 50 судов с момента возобновления блокады Ирана,allow,NON_TOPICAL,green,True
701,788aec950d042fb9ca66b1b458f97c7b,TASS,"Bloomberg: США хотят завершить первые испытания ПРО ""Золотой купол"" в 2026 году",allow,NON_TOPICAL,green,True
705,7b218612cd0c73eea8c963466209c448,TASS,"""Страна"" сообщила, что сотрудники ТЦК схватили мужчину на огороде",allow,NON_TOPICAL,green,True
801,dc4aa6897da35e67aa66175d3616a327,TASS,Абелардо де ла Эсприэлья вступил в должность президента Колумбии,allow,NON_TOPICAL,green,True
901,dceeea51d17c5ac09096879c51274741,TASS,В МИД РФ отметили возможность расширения списка кандидатов на пост генсека ООН,allow,NON_TOPICAL,green,True
1102,e6eb15c741b7ebdb8a084924a5510d70,TASS,"Марочко: Драпатый начал ""мясные штурмы"" на дружковском участке",allow,NON_TOPICAL,green,True
1104,3a266cd6e9f15cfdd065d56785bc1ac8,TASS,"В Пензенской области ввели план ""Ковер""",allow,NON_TOPICAL,green,True
1206,dceeea51d17c5ac09096879c51274741,TASS,МИД РФ допустил расширение списка кандидатов на пост генсека ООН,allow,NON_TOPICAL,green,True
1405,76079b9a78f219ebef30df8d812fac8c,TASS,Назван регион с самым высоким средним размером пенсии,allow,NON_TOPICAL,green,True
1601,7a883033a19972dc01951dffdb1618b9,TASS,"Диетолог Чунтонова рассказала, к чему может привести переедание арбуза",allow,NON_TOPICAL,green,True
1701,254383ffc6dbed512ab43e17871d46d6,TASS,CNN: глава Комитета начальников штабов пытается вывести США из войны с Ираном,allow,NON_TOPICAL,green,True
1902,39f8accac4eddb4d461c079a79772988,TASS,"В ОП предложили оформлять через ""Госуслуги"" доверенность на ребенка для бабушек",allow,NON_TOPICAL,green,True
2102,b06ac588bd47d585268547e37b4b3c73,TASS,В Якутии создают необходимую инфраструктуру для развития отрасли огранки алмазов,allow,,green,False
2302,0572f441bdb3563282b62d49919ca1c5,TASS,Лидер фракции ХДС/ХСС отверг вариант досрочной отставки Мерца с поста канцлера,allow,NON_TOPICAL,green,True
2306,8a15dc53c0d5910de85a9e90ef056b72,TASS,ABC узнал о снятии с должности координирующего помощь Украине генерала США,allow,NON_TOPICAL,green,True
2502,48adc39a254dc1a9442e484d1b3cbc2a,TASS,На Крымском мосту временно перекрыли движение автомобилей,allow,NON_TOPICAL,green,True
2601,dde6b959f687b1de44171ef83573643f,TASS,ЛДПР предложила ввести единый стандарт медпомощи для силовиков,allow,NON_TOPICAL,green,True
2602,4f38f019aeaef27ca6db6ef06b03e423,TASS,Осенние каникулы у некоторых школьников будут длиннее зимних,allow,,green,False
2605,cfe01c39e051218f059dc7d5b0d2de60,TASS,Пентагон обнародовал пятый массив архивных данных об НЛО,allow,NON_TOPICAL,green,True
2802,ecb0883d58ef4c7bf2a8a2a0a830bc64,TASS,Стасишин сравнил качество жилья в США и в России,allow,NON_TOPICAL,green,True
2902,0f7fe62b6526d6f370c0768bbfde8848,TASS,"Хуснуллин сообщил о значительном улучшении ситуации на трассе ""Новороссия""",allow,NON_TOPICAL,green,True
3202,1086c77ee8cdcb2beed71069a6dfb903,TASS,Экс-министра ВВС США лишили доступа к секретным данным,allow,NON_TOPICAL,green,True
3501,eafa5e5feb1c3b83b0fb57140ecc81ab,TASS,"Мирошник: Киев и Запад ""ушли на каникулы"" по теме якобы похищенных РФ детей",allow,NON_TOPICAL,green,True
3502,ffdca3b6d60f1debbdf11e351c6b34b2,TASS,"В Сахалинской области зафиксировали землетрясение магнитудой 5,3",allow,,green,True
3701,13cd8a3ece03cea55fec935e4c4317c0,TASS,Дефицит бюджета Украины в 2026 году составит рекордные 35% ВВП,allow,,green,False
3704,676c83885aac3360453bb273028b8811,TASS,У Сахалина из-за разлива ГСМ загрязнено почти 60 тыс. кв. м,allow,NON_TOPICAL,green,True
3802,1eedc8f5dd3607f6e8ae787a202e549f,TASS,"Сын Усольцевой рассчитывает, что его пропавшие в тайге родные живы",allow,NON_TOPICAL,green,True
3809,ffdca3b6d60f1debbdf11e351c6b34b2,TASS,"В Сахалинской области произошло землетрясение магнитудой 5,3",allow,,green,True
3901,ed09cc63e343bc2805f02ca9cbf71220,TASS,"Диетолог Гречинская посоветовала, какие продукты лучше есть в жару",allow,NON_TOPICAL,green,True
4002,611b962150102bf095b5c8c527ce4048,TASS,Онколог Олькин напомнил о бесплатной химиотерапии по ОМС,allow,NON_TOPICAL,green,True
4010,676c83885aac3360453bb273028b8811,TASS,У Сахалина из-за разлива ГСМ загрязнено почти 60 тыс. кв. м акватории,allow,NON_TOPICAL,green,True
4101,17944518d6dd3d2e9b99e56efac26323,TASS,"NYT узнала, что США ищут способы сменить руководство Кубы по сценарию Венесуэлы",allow,NON_TOPICAL,green,True
4201,6141896b3da23ad2317f064d52605aad,TASS,"Сальдо рассказал, на чем держится украинская система власти",allow,NON_TOPICAL,green,True
4404,17944518d6dd3d2e9b99e56efac26323,TASS,NYT узнала о поиске США кандидата на пост главы Кубы по венесуэльскому сценарию,allow,NON_TOPICAL,green,True
4701,ab94a23457bf051d431362ca882c23c5,TASS,"Мирошник назвал страну-активиста мистификации о ""похищении РФ"" детей Украины",allow,NON_TOPICAL,green,True
4702,ac975beb5ddde2ea1a72a5341869dd71,TASS,Боец Чех: в детских лагерях на Украине учат убивать русских,allow,NON_TOPICAL,green,True
4801,e11eef7c6f210a1528dc007aac58dc60,TASS,"Колумбия присоединится к созданному США альянсу ""Щит Америк""",allow,NON_TOPICAL,green,True
5001,248ba7a9f18e16adafdac9fbb91f0953,TASS,Суд в Москве по делу Лерчек оставил под арестом Rolls-Royce блогера за 42 млн рублей,allow,NON_TOPICAL,green,True
5002,b8754a44b8e26d006cb095d21ab8e0ee,TASS,"В Россию за полгода въехали почти 7,2 тыс. граждан США",allow,NON_TOPICAL,green,True
5201,1601db9bc1f1eaaabd1efd3ab9209da8,TASS,"Сербский снайпер Берич рассказал, где видит свое будущее",allow,NON_TOPICAL,green,True
5202,16ed9caa042bb3bef67875ec265b3a7c,TASS,В ГД предложили освободить многодетных и инвалидов от НДС за ввоз в РФ минивэнов,allow,NON_TOPICAL,green,True
5203,bc6ff976339c6a99b03ca14c3ef70317,TASS,Режим опасного неба введен в Удмуртии,allow,NON_TOPICAL,green,True
5204,64321d2919c114a2f77a19a9c0d1e7f9,TASS,США выделят $1 млрд на поддержку администрации нового президента Колумбии,allow,NON_TOPICAL,green,True
5306,248ba7a9f18e16adafdac9fbb91f0953,TASS,Суд по делу Лерчек оставил под арестом ее Rolls-Royce и более 45 млн рублей,allow,NON_TOPICAL,green,True
5501,0aecb9b2cde36823a619fd38238d676b,TASS,На юге европейской России прогнозируют жару до 42 градусов,allow,NON_TOPICAL,green,True
5506,bc6ff976339c6a99b03ca14c3ef70317,TASS,В Удмуртии ввели режим опасного неба,allow,NON_TOPICAL,green,True
5601,8c2c300fd8c2e8b72ef2546e2c70e7d1,TASS,Во Владивостоке завели дело после нападения мужчины на подростка в лифте,allow,NON_TOPICAL,green,True
5905,2bde5306523e46aecf60714635d912bd,TASS,"Мирошник назвал историю про ""похищенных Россией детей"" очередным бредом",allow,,green,False
5906,6a2e6f2089cfa3fbcd4b9b54dae91b25,TASS,Число жертв землетрясения в Японии выросло до 39,allow,,green,True
5908,8c2c300fd8c2e8b72ef2546e2c70e7d1,TASS,Во Владивостоке завели дело после нападения на подростка в лифте,allow,NON_TOPICAL,green,True
6201,fd7b0c188fb5a53b8b3e89ad51daebaa,TASS,В ДНР готовят решение о досрочном голосовании на выборах в Госдуму,allow,,green,False
6202,e38ce7aa84b8e622cf277d7d51f209c8,TASS,Эксперт Верховец рассказал о задачах России в условиях климатического стресса,allow,NON_TOPICAL,green,True
6203,c4920e514dd833db6132373fcf86f4ea,TASS,В отношении Долиной закрыли исполнительные производства после оплаты штрафов ГАИ,allow,NON_TOPICAL,green,True
6402,79b13f62158bfaec04dfc5d39cb71f6a,TASS,"Врач Шипелин объяснил, почему термообработка не разрушает токсины плесени",allow,NON_TOPICAL,green,True
6502,4892518206ae99fd357214944ec93c80,TASS,"В ПФО, Сибири и на Дальнем Востоке ожидают штормовой ветер и ливни",allow,NON_TOPICAL,green,True
6504,e56a6e21b353fc3ef8d53b7c7939b2ef,TASS,"Сооснователь ""Википедии"" назвал платформу пропагандистским инструментом ЦРУ",allow,NON_TOPICAL,green,True
6509,c4920e514dd833db6132373fcf86f4ea,TASS,Приставы закрыли исполнительные производства против Долиной,allow,NON_TOPICAL,green,True
6601,3a4e3826ab172f9641ff724c8881e1a1,TASS,Bloomberg: Киев обещал США не атаковать инфраструктуру КТК в Черном море,allow,,green,True
6602,3be803e50e1af42221856bf3bfbaa9c2,TASS,Корабельные группы ТОФ отработали задачи противороботовой защиты,allow,NON_TOPICAL,green,True
6701,5d0fb8dfcfb70bb0dc77bde2875554d3,TASS,Ми-8 МЧС России снова вылетел на поиски пропавшего в Приморье вертолета,allow,NON_TOPICAL,green,True
6801,67ed2641d50e4accd987e23137b98682,TASS,"Водолацкий объяснил, зачем западным элитам нужна русофобия",allow,NON_TOPICAL,green,True
6904,3a4e3826ab172f9641ff724c8881e1a1,TASS,Bloomberg: Украина обещала США не атаковать инфраструктуру КТК в Черном море,allow,,green,True
7102,fa1424df245c994334d41c8eda5e67ea,TASS,"Мирошник: Запад готов заплатить миллионы за сфабрикованные данные о ""похищенных РФ"" детях",allow,NON_TOPICAL,green,True
7201,8bc724bdac1fe040a43c023cc9c2e385,TASS,"На петербургском ""Пикнике Афиши"" выступят FEDUK, Slava Marlow и ЛСП",allow,NON_TOPICAL,green,True
7202,866b2a20ec363b219e33ee581b32fb77,TASS,Разыскиваемый Европолом испанец планирует получить постоянную визу в России,allow,NON_TOPICAL,green,True
7203,49725166cfc159901cb9cb0564fbf7b6,TASS,Громов: Спартакиада народов РФ позволит выявить лучших для сборной страны,allow,NON_TOPICAL,green,True
7204,9369ba1ca3f81f297907f187cb5ed4c2,TASS,"Разработка ""Калашникова"" упростит контроль за временем нахождения жгута на ране",allow,NON_TOPICAL,green,True
7301,d4e32c669524f53b6109311693989f3b,TASS,"Биолог Глазков предположил, как кошки находят дорогу домой",allow,NON_TOPICAL,green,True
7302,b19b8b14b90bc5438fe17d368611352f,TASS,"Биолог Глазков напомнил, почему кошек нельзя оставлять надолго в одиночестве",allow,NON_TOPICAL,green,True
7401,08c0b9ec20eb7e0d86696b8e40c9e3de,TASS,В Японии около 56 тыс. домохозяйств остались без электроэнергии из-за тайфуна,allow,NON_TOPICAL,green,True
7402,b92a823dccb2c529c89a1e1ea63a9441,TASS,"Биолог Глазков объяснил, зачем кошки едят птенцов",allow,NON_TOPICAL,green,True
7403,af22adab6b303512b1d1d5b66425cf95,TASS,Биолог Глазков назвал главных врагов домашних кошек на Северо-Западе России,allow,NON_TOPICAL,green,True
7404,ea86dbdab2a6a4562c194f0b3843b1dc,TASS,"ТАСС выяснил, как за 10 лет выросла средняя пенсия госслужащих",allow,NON_TOPICAL,green,True
7405,e5bded39f3e3a2427a8cf595db4607f1,TASS,Сигнал опасного неба отменили в Удмуртии,allow,NON_TOPICAL,green,True
7414,fa1424df245c994334d41c8eda5e67ea,TASS,"Мирошник: Запад готов платить миллионы за ложные данные о ""похищенных РФ"" детях",allow,NON_TOPICAL,green,True
7501,515b9a51b32209f6ae3f194afc2d9a5a,TASS,Названы регионы-лидеры по росту бронирований квартир и апартаментов,allow,NON_TOPICAL,green,True
7502,3f4f594b1c9b282d8f9e13e3f08b578f,TASS,"Эксперт Моисеев рассказал, как получить перерасчет по ЖКХ за время отсутствия",allow,NON_TOPICAL,green,True
7602,60c1cc7ad89d69d52266cc18f94f64e2,TASS,В ГД рассказали об основных правилах оборота цифровой валюты с 1 сентября,allow,NON_TOPICAL,green,True
7701,e3533b084c375afa4d47900fce5b1a7c,TASS,ТАСС: в Сумской области зафиксирована вспышка лихорадки Западного Нила,allow,NON_TOPICAL,green,True
7703,04c468e4184610fd7e177fffc9bb94e2,TASS,"Алаудинов считает Драпатого ""страшнейшим националистом и русофобом""",allow,NON_TOPICAL,green,True
7704,9cf1dfdab01e7d52ba73b13fd0c2b7b0,TASS,РФ планирует поставлять лекарственные травы для китайской традиционной медицины,allow,,green,False
7714,e5bded39f3e3a2427a8cf595db4607f1,TASS,В Удмуртии отменили сигнал опасного неба,allow,NON_TOPICAL,green,True
7901,132cf7f800fc5c7b6fe259c8c5a94b82,TASS,"Эксперт Патаман заявил, что Украина готова на рабство у Запада",allow,NON_TOPICAL,green,True
7903,1dc8079d3d65f10bad8fc32b65a3bbc4,TASS,"ТАСС: под Харьков перебросили 10-ю горно-штурмовую бригаду ""Эдельвейс""",allow,NON_TOPICAL,green,True
7912,515b9a51b32209f6ae3f194afc2d9a5a,TASS,Названы регионы с самым высоким ростом аренды квартир в России,allow,NON_TOPICAL,green,True
8001,7aa30fbaf0ae3a36e8baea37a8294316,TASS,Турышев: сборная Югры по лыжным гонкам даже без Устюгова будет бороться за Топ-3,allow,NON_TOPICAL,green,True
8003,81efa9d3be90c92f36a49fcf76642bdb,TASS,"В ГД рассказали, в каких случаях необходим межевой план земельного участка",allow,NON_TOPICAL,green,True
8019,b92a823dccb2c529c89a1e1ea63a9441,TASS,"Биолог Глазков объяснил, почему дачи становятся ""мертвой зоной"" для птиц",allow,NON_TOPICAL,green,True
8101,29287fdbf5d12a50b378d5550a8fe8d0,TASS,В WADA не стали комментировать получение нейтрального статуса Валиевой,allow,NON_TOPICAL,green,True
8102,ecc407e2bdabc60522a7fa4a24d1cffd,TASS,В ГД предложили изменить финансирование питания детей из многодетных семей,allow,NON_TOPICAL,green,True
8206,132cf7f800fc5c7b6fe259c8c5a94b82,TASS,Эксперт Патаман заявил о готовности Украины стать рабом Запада,allow,NON_TOPICAL,green,True
8302,b396eddfd76aa4a5abc4681fb485dba5,TASS,Хуснуллин призвал навести порядок в организации работы мигрантов на стройках,allow,NON_TOPICAL,green,True
8303,c4e7b2c5a64fe0cbe15f9a4eb3e6d775,TASS,Два литра воды и 10 тыс. шагов: какие правила ЗОЖ оказались вымыслом,allow,NON_TOPICAL,green,True
8305,a8f1c73e810de013d1ad6b78c1293bdc,TASS,Мамиашвили назвал решение хорватских властей скрытой формой бойкота РФ,allow,NON_TOPICAL,green,True
8308,7aa30fbaf0ae3a36e8baea37a8294316,TASS,Турышев: сборная Югры даже без лыжника Устюгова будет бороться за топ-3,allow,NON_TOPICAL,green,True
8327,af22adab6b303512b1d1d5b66425cf95,TASS,Биолог Глазков назвал главных врагов домашних кошек,allow,NON_TOPICAL,green,True
8401,947866e89865ee6195d717afd83911ff,TASS,В аэрокосмическом фестивале под Владимиром приняли участие порядка 300 человек,allow,NON_TOPICAL,green,True
8402,9711a09c4a53a83d145dae1e111f6949,TASS,"В МВД рассказали, как защитить аккаунты от взлома",allow,NON_TOPICAL,green,True
8502,98c21175c76c0b044bd0becb55b6d3f2,TASS,Эксперт Сорокин: власти Молдавии двуличны в отношении диаспор в России и ЕС,allow,NON_TOPICAL,green,True
8601,fb775505972119bf7fcbd5f25a3c378f,TASS,"В hh.ru рассказали, какую подработку чаще всего ищут жители Сибири",allow,NON_TOPICAL,green,True
8602,ede71bc5f73b0dcfc350241be55c0b6a,TASS,Психиатр Сахаров обозначил группу риска лудомании,allow,NON_TOPICAL,green,True
8702,34c2116f046b65fac911d1229426f51b,TASS,В ОП назвали требования к ручкам по новому ГОСТу,allow,NON_TOPICAL,green,True
8704,297442cb97c0bc8a9daa4516a812381f,TASS,Эксперт Кузина рассказала о нужных питомцу витаминах и кислотах перед осенью,allow,NON_TOPICAL,green,True
8802,fe7b544d25f7bce9ea980d90bdee9666,TASS,Сборная России по прыжкам в воду вернулась с ЧЕ,allow,NON_TOPICAL,green,True
8901,f18991b6bcf9278e8a506e93f86de64f,TASS,Голикова поздравила волонтеров-медиков с юбилеем,allow,NON_TOPICAL,green,True
8903,736c26481fa7f66be25a964d06921e64,TASS,"В ""Авито"" выяснили, сколько россияне готовы потратить на покупку мотоцикла",allow,NON_TOPICAL,green,True
9004,d40d0ad00926b789cfad1845ff76681a,TASS,"Эксперт Патаман объяснил, что может вернуть украинцев в реальность",allow,NON_TOPICAL,green,True
9015,297442cb97c0bc8a9daa4516a812381f,TASS,Ветеринар Кузина назвала нужные питомцу витамины перед осенью,allow,NON_TOPICAL,green,True
9303,7da42cb956b338258029fa08feacbb56,TASS,"В Киеве поражено предприятие, производящее комплектующие для ракет FP-5 ""Фламинго""",allow,NON_TOPICAL,green,True
9403,5dce007f684df2812bc49d9baa258407,TASS,Жители шести районов Екатеринбурга остались без холодной воды,allow,NON_TOPICAL,green,True
9501,6ffddbac3ad2fa8cf550bfbc630fd2f5,TASS,"""Читай-город"": россияне стали чаще покупать книги о здоровом питании и десертах",allow,NON_TOPICAL,green,True
9503,1553cff0b0c28c1e5fb83e7c596f3568,TASS,"Дегтярев: День физкультурника - праздник тех, кто разделяет ценности ЗОЖ",allow,NON_TOPICAL,green,True
9504,922aa166b2b7c5c69f7dda27b35d010b,TASS,Экс-глава MI6 ежегодно посещал Японию для консультаций по проблемам разведки,allow,NON_TOPICAL,green,True
9601,466a43f061d3d937df87514c92a95a73,TASS,"В Минтрансе рассказали, как вернуть деньги за проезд",allow,NON_TOPICAL,green,True
9701,06cef25262d089d30ccf73b1fe0541b1,TASS,Испанский IT-специалист раскрыл 400 шпионов НАТО и СБУ,allow,NON_TOPICAL,green,True
9702,2950f54709ef6ef4e87849c7f36e1005,TASS,В Свердловской области паводковая вода за сутки ушла с 79 приусадебных участков,allow,NON_TOPICAL,green,True
9705,6a9f2d4793e714e5d48fb5bbb9b51124,TASS,"Эксперт Чжоу объяснил, чем эффективно сотрудничество КНР, России и Белоруссии",allow,NON_TOPICAL,green,True
9706,df9b6d50c3a6995f72f0f8ccbe6f13b2,TASS,Эксперт Лумумба: РФ пользуется кредитом доверия в Африке благодаря роли СССР,allow,NON_TOPICAL,green,True
9801,2907a05aaab519a0cfdc3928fa7cdc5a,TASS,В Иркутской области в ДТП погиб ребенок,allow,,green,True
9802,c6e96950726d80a7f903cc7bf6209beb,TASS,Аксаков не исключил появление пластиковых банкнот в России,allow,NON_TOPICAL,green,True
9803,48b6efb77dd3b811bb3ba0f6c71642b4,TASS,Экс-лидер Южной Осетии заявил о конце однополярного мира после войны 2008 года,allow,NON_TOPICAL,green,True
9902,7953484bf7b83eff1fd734fd2fbc91b1,TASS,"Эксперты Level Group выяснили, кто больше всех склонен к дружбе на работе",allow,NON_TOPICAL,green,True
9904,585fd23a4b12e0f71e3c8c23f7f9a0a9,TASS,РУСАДА за 7 месяцев выдало 93 разрешения на применение запрещенных лекарств,allow,NON_TOPICAL,green,True
9905,9b071f337dc0983a1d0ab80d021e0e9b,TASS,Сенатор Шейкин: экстрасенсы обманывают людей по видеосвязи,allow,NON_TOPICAL,green,True
9906,1f6df2b80547784115c8b41e65cf9835,TASS,Россияне назвали главные стереотипы о своей нации за рубежом,allow,NON_TOPICAL,green,True
10002,0ec25466ca446ad39ce273d2f74af3e1,TASS,Постпред Кубы при ООН: США готовят почву для возможной агрессии,allow,NON_TOPICAL,green,True
10101,c5817d5291c23db8bd3bb48d3065dce0,TASS,"Володин рассказал о законах, вступающих в силу в августе",allow,NON_TOPICAL,green,True
10102,8b2a8acb18996a1e1b95cf389e04b460,TASS,"Прыгунья в воду Трифонова сдавала ЕГЭ заранее, чтобы выступить на ЧЕ в Париже",allow,NON_TOPICAL,green,True
10103,402614bbd1c9b8d70b2906765486ed26,TASS,В Крыму более 800 детей с инвалидностью смогут ежегодно проходить реабилитацию,allow,NON_TOPICAL,green,True
