line_no,news_id,source,title,old_decision,new_decision,new_category,new_risk_tier,changed,new_reason_codes
46,136b5c144129fd8d2b3162cb1cf3bd85,TASS,Аэропорт Домодедово обслуживает рейсы по согласованию,hard_block,hard_block,AIRPORT,red,False,manual_airport_hard_block
47,885a9c1374d150ba21c3e49ad10f35a3,TASS,На Кубани при столкновении судна и катамарана пострадал ребенок,review,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
48,2b66fa2ef123f784c77013c30bd23528,TASS,"Глава European Aquatics считает, что россияне великолепно выступают на турнирах",hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
49,2e46916a591c94f3fbd3bcb5add2d08d,TASS,В Коммунарке построят здание для центра госуслуг и Дворца бракосочетания,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
50,b1de3bdd28b542a2a6b09c3967289410,TASS,"Тайфун ""Долфин"" обрушился на восток Китая",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
51,b0a67249534ce77f238f447840c99586,TASS,Президент European Aquatics лично оценил качество воды в Сене,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
52,54bc45d2d4c3067b23286c39ee935c26,TASS,Находящихся в ПВР жителей поврежденного дома в Белгороде обеспечили необходимым,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
53,56c8c1efebc1e0c7774762697b6ce0ab,TASS,Al Arabiya: при атаке хуситов на порт Моха в Йемене погибли семь человек,hard_block,review,,yellow,True,unknown_topic
54,85278c275b090f7fe4e32d38e04e17f0,TASS,Сирия и РФ подписали меморандум о будущем российских военных баз,hard_block,hard_block,WAR_OPERATIONAL,red,False,context:military_rf_forces
55,1ada899e5be6ea92718187d90b6f1430,TASS,Атлеты из РФ получат призовые за выступление на ЧЕ по водным видам спорта,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
56,aaa2914c8123805976f42d542bfd8bf3,TASS,Гетболы в Южном море. Новые места в списке наследия ЮНЕСКО в Республике Корея,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
57,857fddbfb906251b8fda686a67185519,TASS,Силва: участие россиян усилило соревнования по синхронному плаванию на ЧЕ,hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
58,624c849fc9c172bf3468ff51651e9c0a,TASS,В горах Сочи оборудовали площадки для наблюдения за звездопадом Персеиды,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
59,7c1152d1a4c4e927b3a91bb12c8430b6,TASS,European Aquatics готова допускать россиян на турниры с флагом и гимном,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
60,6f883a923a971f7a6ba75de06a0ece53,TASS,Силва: у России есть право на проведение ЧЕ по водным видам спорта 2028 года,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
61,2f3e90b3f0f3735c3e59a8768a2df298,TASS,В Харькове произошли взрывы,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
62,a2275c72662afb5fb2c58dbcc4e41211,TASS,"В СФ заявили, что оформление льгот на ЖКУ нужно максимально упростить",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
63,2210394ac4c2c4f0c2f437904c1b059f,TASS,"""Консорциум БАС"": доставка дронами должна предполагать минимум участия человека",hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
64,650d5336a482b87375a7ed27cdf952de,TASS,Baidoa Online: Запад отказывает Сомали в финансовой помощи,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
65,39b5dc000f5d11b43d453f3877490b12,TASS,ABC: в Нью-Йорке при опрокидывании судна погибли два человека,review,review,,yellow,False,unknown_topic
66,af58cfd97873e94efb5040de9bccfe9d,TASS,Хуснуллин и Собянин поздравили строителей с профессиональным праздником,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
67,3913df12926bf83b28a5b9b63fa1355f,TASS,"На Ямале прошел этнокультурный фестиваль ""Народы Арктики""",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
68,b3ab91af4857f4acee383f71d71ad95a,TASS,"Глава ""Калашникова"" отметил изменение характера ведения боевых действий в зоне СВО",hard_block,hard_block,WAR_OPERATIONAL,red,True,сво
69,ca0d47bb73066ada9afc27b6aaac50dc,TASS,Хуснуллин поблагодарил российских строителей за труд,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
70,43d1f94a69a306fb066b8d55b187f783,TASS,"МИД РФ сожалеет, что Греция продолжает военную помощь преступному киевскому режиму",hard_block,hard_block,WAR_OPERATIONAL,red,True,context:military_rf_forces
71,92ff3516d5a803cc210d9d7c5632f7f1,TASS,"Нетаньяху заявил, что не допустит создания палестинского государства",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
72,2d50d8a1c43be05eac69e9c3d894a153,TASS,В Воронеже отменили опасность непосредственного удара БПЛА,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
73,672bbb193c572fb2ffa7d0f22b21443e,TASS,Юрий Пилипсон: потворство украинской военщине приближает НАТО к столкновению с РФ,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
74,60c6386005e74b22d9dd1943d7a46083,TASS,"Нетаньяху признал, что Израиль в последние дни действовал в Ливане с силой",review,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
75,13b4a4c4c5408ee5052bac1391a69c1a,TASS,"Александрова призналась, что никто не ожидал от нее победы над Соболенко",hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
76,6eaef507e2334bc46930e6e8060f5d6a,TASS,Нетаньяху: Израиль не допустит ядерного оружия у Ирана вне зависимости от сделки,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
77,b15f4c624a125badc85dc14b2445ac48,TASS,Мендель обвинила Зеленского в хищениях из бюджета,allow,allow,,green,False,primary:labor_economy
78,69f4681f939c3b171121a26d21f6feb4,TASS,В Нижегородской области подросток утонул во время сплава на сапе,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
79,e004cc9e7b7814b046b71d4397fe7ba6,TASS,"Минута молчания в память о болельщице ""Динамо"" Сушковой прошла перед игрой РПЛ",hard_block,hard_block,SPORT_BLOCKED,red,False,manual_sport_hard_block
80,e72b66a93e323ee514f1608c6753d1cf,TASS,На фестивале в Испании из-за неисправности фейерверков пострадали 27 человек,review,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
81,d13ffb06c0a444af58f2c654631d6ce3,TASS,В Белгороде 12 пострадавших после ночной атаки ВСУ находятся в медучреждениях,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
82,3ab59f910999724f0b39b461d43f25a1,TASS,В Житомире из-за взрывов остановил работу немецкий завод,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
83,ff4d35ed517df6e04abcffe991f939b5,TASS,В Москве арестовали экс-главу и нынешнего руководителя производителя БПЛА,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
84,adce12c9589ab359da206d4113385d76,TASS,Овечкин и боец UFC Магомедов произвели символический удар перед игрой РПЛ,hard_block,hard_block,SPORT_BLOCKED,red,False,manual_sport_hard_block
85,9bfda5195aa1f372ed7369eda62f1e36,TASS,"Хуснуллин напомнил, что первый День строителя отмечался в ""Лужниках""",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
86,f15c36776283945cbd10883a949505f8,TASS,"МИД РФ: Европа ставит на кон судьбу своего народа, потворствуя Киеву",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
87,4082516728111a2aabb53731811b3fcd,TASS,Израиль отверг план Совета мира по Газе,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
88,9c339850072e1c1070291eb3c364fbba,TASS,Во Владимирской области объявили беспилотную опасность,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
89,6c5087b60432b5875427189b35a20cfd,TASS,"Фелипе Мело: Неймар может перейти в ""Интер Майами"" к Месси и Суаресу",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
90,961f1138386317f5973df3c550386b96,TASS,В Забайкалье нашли тело одного из утонувших на реке Ингода подростков,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
91,5d6c6f815f0d5bc3b699a0b500749ade,TASS,"Депутат Вольфсон объяснил, почему не стоит менять семейную ипотеку",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
92,bc30ecd3300c84b8d13a6c4c698201a7,TASS,"Росатом приступил к возвращению специалистов на площадку АЭС ""Бушер""",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
93,dcb227ab1800864aaf520a3626f343ac,TASS,"Глава ""Калашникова"" назвал главные преимущества новой версии ""Ската""",allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
94,f8e3f11561e33d39ef03bf700f569680,TASS,ВС РФ уничтожили два автомобиля и три наземных дрона ВСУ у Дружковки,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
95,408c7366512fd43e098d2cc248148567,TASS,Ход СВО. Сводка Минобороны РФ за 9 августа,hard_block,hard_block,WAR_OPERATIONAL,red,True,сво
96,34995b30a379e45d316572e29ed839bf,TASS,Reuters: около 60% жителей США поддерживают более жесткое регулирование соцсетей,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
97,59ab7b136b6841bc14e75a6f36182adb,TASS,В Прикамье сильные ливни могут привести к дождевому паводку,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
98,42e87a201592a928b67890ff0eb66642,TASS,ТАСС: видео с Моджтабой Хаменеи снято до его назначения верховным лидером Ирана,hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
99,01a96914c1adb4c76708e05f3cc8fc32,TASS,"Бывший футболист тульского ""Арсенала"" Кулешин умер в возрасте 25 лет",hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
100,eda0a415f20aebac5d789e741f8490ee,TASS,Папа Римский выразил соболезнования по поводу жертв в России,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
101,ctrl-1304,CONTROL::rus_news_classifier,"Актриса и телеведущая Агата Муцениеце снова подала в суд на бывшего мужа, актера Павла Прилучного",review,review,,yellow,False,unknown_topic
102,ctrl-398,CONTROL::rus_news_classifier,"Президент России Владимир Путин в беседе с премьер-министром Израиля Биньямином Нетаньяху пророчил, что между двумя странами могла бы начаться война, если бы не",hard_block,hard_block,WAR,red,False,manual_war_hard_block
103,ctrl-387,CONTROL::rus_news_classifier,"Российская актриса Лиза Арзамасова вспомнила, как сделала операцию по коррекции зрения",review,review,,yellow,False,unknown_topic
104,ctrl-550,CONTROL::ru_ethno_hate,"Владимир, необразованность <b>кавказцев</b> - это единственный фактор спасающий оставшихся русских",allow,allow,,green,False,primary:social
105,ctrl-598,CONTROL::ru_ethno_hate,"Объявляйте о выходе из состава Украины! <br/> Почему в Беловежье можно собраться и отделиться, а в Крыму нельзя? ///////////////////////////////////////////////",review,review,,yellow,False,unknown_topic
106,ctrl-1114,CONTROL::rus_news_classifier,"Российская туристка, отдохнувшая в Армении, описала свою поездку словами «очень хочется вернуться»",hard_block,hard_block,WAR_OPERATIONAL,red,False,context:military_rf_forces
107,ctrl-1366,CONTROL::rus_news_classifier,"Теракт в «Крокус Сити Холле» был хорошо организован, но на Западе его освещали предвзято",hard_block,hard_block,,red,True,"теракт,source:CONTROL::rus_news_classifier"
108,ctrl-135,CONTROL::lenta_kaggle,"Умер академик Лихачев В Санкт-Петербурге в четверг 30 сентября в Боткинской больнице на 93-м году жизни скончался выдающийся филолог, литературовед, деятель рос",allow,review,,yellow,True,unknown_topic
109,ctrl-1118,CONTROL::lenta_kaggle,"Европейцы защищают Сеть от защитников интеллектуальной собственности Группа граждан Европейского Союза, обеспокоенных возможной угрозой сетевым свободам в Европ",allow,review,,yellow,True,unknown_topic
110,ctrl-1165,CONTROL::lenta_kaggle,"В Москве открылась выставка ""DVD-шоу'99"" 1 октября в Москве в отеле ""Аэростар"" открылась первая московская международная выставка ""DVD-шоу'99"", посвященная нове",allow,allow,,green,False,primary:geopolitics
111,ctrl-214,CONTROL::lenta_kaggle,"Новый глава Карачаево-Черкесии вступил в должность ""Клянусь при осуществлении полномочий главы Карачаево-Черкесской Республики уважать и охранять права и свобод",hard_block,review,,yellow,True,unknown_topic
112,ctrl-1182,CONTROL::lenta_kaggle,"Ордера на арест подозреваемых по делу Bank of New York пока не выписаны В минувшую среду представитель нью-йоркской штаб-квартиры ФБР Джозеф Валикетт заявил, чт",allow,review,,yellow,True,unknown_topic
113,ctrl-790,CONTROL::rus_news_classifier,"Занимавший с 2007 по 2014 год пост главы МИД Польши евродепутат Радослав Сикорский удалил из Twitter пост, в котором поблагодарил США за повреждение труб газопр",allow,review,,yellow,True,unknown_topic
114,ctrl-761,CONTROL::rus_news_classifier,"Российская актриса Екатерина Шпица заявила, что является сторонницей официального заключения брака, потому что с помощью этого ритуала люди демонстрируют серьез",skip,review,,yellow,True,unknown_topic
115,ctrl-511,CONTROL::ru_ethno_hate,Опять что-то на тему <b>чурок</b> и хачей,review,review,,yellow,False,unknown_topic
116,ctrl-445,CONTROL::rus_news_classifier,Ремонт на сгоревшем атомном подводном обитаемом аппарате АС-31 «Лошарик» будет длиться четыре года,hard_block,review,,yellow,True,unknown_topic
117,ctrl-706,CONTROL::ru_ethno_hate,"Татьяна, национальную самоидентичность пока ещё никто не отменял",review,review,,yellow,False,национальн
118,ctrl-1008,CONTROL::rus_news_classifier,"В США, в штате Нью-Йорк, число госпитализаций детей с COVID-19 выросло в пять раз",allow,review,,yellow,True,unknown_topic
119,ctrl-786,CONTROL::rus_news_classifier,Американская актриса и модель итальянского происхождения Джулия Фокс вышла в свет в необычном образе и привлекла внимание фотографов,hard_block,review,,yellow,True,unknown_topic
120,ctrl-633,CONTROL::ru_ethno_hate,"RT @tvrain: <b>Латыши</b> обиделись на россиян за золото в скелетоне, чемпиона Третьякова обвинили в нечестной победе в Сочи <a href=\http://t.co/D2qah7yn\"" tar",review,review,,yellow,False,unknown_topic
121,bc3b89624bb79a616921f8d6033077be,TASS,ТАСС: в зоне СВО ликвидировали полковника-десантника ВСУ,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
122,81c659c9bf9dc7920946d52bd2b0059a,TASS,Сирийская гражданская авиация получила контроль над аэропортом в Латакии,hard_block,hard_block,AIRPORT,red,False,manual_airport_hard_block
123,e08a3889ed6de96d71b17bebd9ef1c14,TASS,ТАСС: кладбище в Ивано-Франковске переполнено воинскими захоронениями,hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
124,5767bb074f5da8f9cf5687e6095092ba,TASS,ТАСС: у Константиновки ликвидировали британского наемника ВСУ,hard_block,hard_block,WAR_OPERATIONAL,red,False,manual_war_operational_hard_block
125,cec0c9d4d619d7a10839e34cfb941646,TASS,В Сочи нашли тело подростка в реке,allow,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
126,6f9414b8e374e63299c458a73d16fd7c,TASS,ТАСС: жителей Запорожья призвали покинуть город на двое суток,hard_block,allow,NON_TOPICAL,yellow,True,"unknown_topic_low_signal_allow_forward,override:unknown_topic_forward_trusted_source"
127,138c1d67c97c9bf296fa57a41e3d3bfb,TASS,ТАСС: митинги в поддержку Федорова загнали Зеленского в тупик,review,review,PROTESTS,yellow,False,unknown_topic
128,330281bc5b836454a516b1184df094f5,TASS,Журова удивлена новости о праве России провести водный чемпионат Европы,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
129,efd55a4ef2e5a1e8b910bf8484f2b600,TASS,На Кубани при столкновении моторных лодок погиб человек,review,review,,yellow,False,unknown_topic
221,ctrl-1426,CONTROL::rus_news_classifier,"Чиновника администрации Элисты арестовали за фейки о вооруженных силах России, которые он распространял через Telegram-канал",hard_block,review,,yellow,True,unknown_topic
222,ctrl-551,CONTROL::ru_ethno_hate,"Да нет, до <b>восточноевропейцев</b> потихонечку доходит, что на евробанкет их пригласили в качестве главного блюда, но от осознания до реального протеста дорог",review,review,,yellow,False,unknown_topic
223,ctrl-69,CONTROL::lenta_kaggle,Крупнейшее ограбление банка в Эстонии В Эстонии произошло крупнейшее за последние четыре года ограбление банка,skip,skip,,green,False,out_of_scope:crime
