source_id	source_path	author	work	stance_type	period	language	include	notes
src_5505db7e7806f22f	intellectual/Ленин/pss/том 32.txt	Ленин	том 32	core_self	unknown	ru	True	
src_1f1f11edc45f7656	intellectual/Ленин/pss/том 33.txt	Ленин	том 33	core_self	unknown	ru	True	
src_f99e71a0c1459702	intellectual/Ленин/pss/том 34.txt	Ленин	том 34	core_self	unknown	ru	True	
src_e9c891f93795692f	intellectual/Ленин/pss/том 35.txt	Ленин	том 35	core_self	unknown	ru	True	
src_584a88859291a757	intellectual/Ленин/pss/том 36.txt	Ленин	том 36	core_self	unknown	ru	True	
src_b4f7466ebccee5f6	intellectual/Ленин/pss/том 37.txt	Ленин	том 37	core_self	unknown	ru	True	
src_6bc479ae65337dfd	intellectual/Ленин/pss/том 38.txt	Ленин	том 38	core_self	unknown	ru	True	
src_1f6fa316f78469cd	intellectual/Ленин/pss/том 39.txt	Ленин	том 39	core_self	unknown	ru	True	
src_ae442f4ab7c83bec	intellectual/Ленин/pss/том 4.txt	Ленин	том 4	core_self	unknown	ru	True	
src_54a744adf4d2a8b0	intellectual/Ленин/pss/том 40.txt	Ленин	том 40	core_self	unknown	ru	True	
src_9c53b53a5ea3dec6	intellectual/Ленин/pss/том 41.txt	Ленин	том 41	core_self	unknown	ru	True	
src_f2e825e2ca4e86fd	intellectual/Ленин/pss/том 42.txt	Ленин	том 42	core_self	unknown	ru	True	
src_6875e21a41bedecd	intellectual/Ленин/pss/том 43.txt	Ленин	том 43	core_self	unknown	ru	True	
src_2a577ee3454a4cb0	intellectual/Ленин/pss/том 44.txt	Ленин	том 44	core_self	unknown	ru	True	
src_a4021a93eb6b5334	intellectual/Ленин/pss/том 45.txt	Ленин	том 45	core_self	unknown	ru	True	
src_01addc3ce7887629	intellectual/Ленин/pss/том 46.txt	Ленин	том 46	core_self	unknown	ru	True	
src_26ef3d6f0152dadc	intellectual/Ленин/pss/том 47.txt	Ленин	том 47	core_self	unknown	ru	True	
src_e6060aec3587c10a	intellectual/Ленин/pss/том 48.txt	Ленин	том 48	core_self	unknown	ru	True	
src_64d57043895b3fb6	intellectual/Ленин/pss/том 49.txt	Ленин	том 49	core_self	unknown	ru	True	
src_1c1bc1b66226f8b1	intellectual/Ленин/pss/том 5.txt	Ленин	том 5	core_self	unknown	ru	True	
src_2f8674e697fe77e5	intellectual/Ленин/pss/том 50.txt	Ленин	том 50	core_self	unknown	ru	True	
src_6fab88e427de6934	intellectual/Ленин/pss/том 51.txt	Ленин	том 51	core_self	unknown	ru	True	
src_fbb612d26504e561	intellectual/Ленин/pss/том 52.txt	Ленин	том 52	core_self	unknown	ru	True	
src_258bf0381c966aef	intellectual/Ленин/pss/том 53.txt	Ленин	том 53	core_self	unknown	ru	True	
src_c57db59073467e2e	intellectual/Ленин/pss/том 54.txt	Ленин	том 54	core_self	unknown	ru	True	
src_a04cdecb5e4ed0ab	intellectual/Ленин/pss/том 55.txt	Ленин	том 55	core_self	unknown	ru	True	
src_3505cc68f68e3abf	intellectual/Ленин/pss/том 6.txt	Ленин	том 6	core_self	unknown	ru	True	
src_f0fc93dd812e9920	intellectual/Ленин/pss/том 7.txt	Ленин	том 7	core_self	unknown	ru	True	
src_c22828a1508af427	intellectual/Ленин/pss/том 8.txt	Ленин	том 8	core_self	unknown	ru	True	
src_275065e88158a093	intellectual/Ленин/pss/том 9.txt	Ленин	том 9	core_self	unknown	ru	True	
src_295491b6e89ed3a9	intellectual/Ленин/single/Карл Маркс (краткий биографический очерк с изложением марксизма).txt	Ленин	Карл Маркс (краткий биографический очерк с изложением марксизма)	core_self	unknown	ru	True	
src_09b96372a1040a8d	intellectual/Ленин/single/Материализм и эмпириокритицизм.txt	Ленин	Материализм и эмпириокритицизм	core_self	unknown	ru	True	
src_831acf9a514a43fa	intellectual/Ленин/single/Письма к Горькому.txt	Ленин	Письма к Горькому	core_self	unknown	ru	True	
src_7c23e6ece51d32ad	intellectual/Ленин/single/Три источника и три составных части марксизма.txt	Ленин	Три источника и три составных части марксизма	core_self	unknown	ru	True	
src_f58c84f14b9d25d3	intellectual/Ленин/single/Философские тетради.txt	Ленин	Философские тетради	core_self	unknown	ru	True	
src_c204bce9efe5ee44	intellectual/МарксЭнгельс/Капитал.txt	МарксЭнгельс	Капитал	influence_agree	unknown	ru	True	
src_198e4ba7a1f6d8f4	intellectual/МарксЭнгельс/Святое семейство.txt	МарксЭнгельс	Святое семейство	influence_agree	unknown	ru	True	
src_2a59316bf152ea0a	intellectual/Мах/Анализ ощущений.txt	Мах	Анализ ощущений	contextual	unknown	ru	True	
src_8068acf1ffaa43dd	intellectual/Плеханов/к вопросу о развитии монистического взгляда на историю.txt	Плеханов	к вопросу о развитии монистического взгляда на историю	contextual	unknown	ru	True	
src_ac68bf12e33947dc	intellectual/Пуанкаре/о науке.txt	Пуанкаре	о науке	contextual	unknown	ru	True	
src_1340b96ee5807da1	intellectual/Фейербах/История философии.txt	Фейербах	История философии	contextual	unknown	ru	True	
src_90fa5bd158393350	intellectual/Фейербах/Сущность христианства.txt	Фейербах	Сущность христианства	contextual	unknown	ru	True	
src_05e945c311a83b2b	intellectual/Чернышевский/Антропологический принцип.txt	Чернышевский	Антропологический принцип	contextual	unknown	ru	True	
src_081d669cd2556ca3	ultimate_cleaned_ontology/Аристотель/Метафизика (Классики философии) - 1934.txt	Аристотель	Метафизика (Классики философии) - 1934	contextual	unknown	ru	True	
src_7f763b2246f9d9f2	ultimate_cleaned_ontology/Арманд/Статьи, речи, письма.txt	Арманд	Статьи, речи, письма	contextual	unknown	ru	True	
src_bfbc656b891e89e2	ultimate_cleaned_ontology/Богданов/Эмпириомонизм.txt	Богданов	Эмпириомонизм	contextual	unknown	ru	True	
src_183f2294645a0279	ultimate_cleaned_ontology/Гегель/Лекции по истории философии.txt	Гегель	Лекции по истории философии	contextual	unknown	ru	True	
src_a3ccc0f029234edf	ultimate_cleaned_ontology/Гегель/Наука логики.txt	Гегель	Наука логики	contextual	unknown	ru	True	
src_f306b9d232b1666a	ultimate_cleaned_ontology/Гегель/Феноменология духа.txt	Гегель	Феноменология духа	contextual	unknown	ru	True	
src_78258c1dd615483a	ultimate_cleaned_ontology/Ленин/pss/том 1.txt	Ленин	том 1	core_self	unknown	ru	True	
src_e046a41b6a5d6817	ultimate_cleaned_ontology/Ленин/pss/том 10.txt	Ленин	том 10	core_self	unknown	ru	True	
src_add2de49564b1bf0	ultimate_cleaned_ontology/Ленин/pss/том 11.txt	Ленин	том 11	core_self	unknown	ru	True	
src_1c7d6035fc6168e0	ultimate_cleaned_ontology/Ленин/pss/том 12.txt	Ленин	том 12	core_self	unknown	ru	True	
src_5e681d4bf161e257	ultimate_cleaned_ontology/Ленин/pss/том 13.txt	Ленин	том 13	core_self	unknown	ru	True	
src_68a46fd8cdf03d82	ultimate_cleaned_ontology/Ленин/pss/том 14.txt	Ленин	том 14	core_self	unknown	ru	True	
src_eb305e0fa3f4cd60	ultimate_cleaned_ontology/Ленин/pss/том 15.txt	Ленин	том 15	core_self	unknown	ru	True	
src_3652bc5fbf9e4e64	ultimate_cleaned_ontology/Ленин/pss/том 16.txt	Ленин	том 16	core_self	unknown	ru	True	
src_f10247d43910fa40	ultimate_cleaned_ontology/Ленин/pss/том 17.txt	Ленин	том 17	core_self	unknown	ru	True	
src_95a7c04ae2d4d1ae	ultimate_cleaned_ontology/Ленин/pss/том 18.txt	Ленин	том 18	core_self	unknown	ru	True	
src_eb7a9c7206adbe9e	ultimate_cleaned_ontology/Ленин/pss/том 19.txt	Ленин	том 19	core_self	unknown	ru	True	
src_1786b2a55017f51a	ultimate_cleaned_ontology/Ленин/pss/том 2.txt	Ленин	том 2	core_self	unknown	ru	True	
src_f9045b3a17c841d6	ultimate_cleaned_ontology/Ленин/pss/том 20.txt	Ленин	том 20	core_self	unknown	ru	True	
src_a46e678d621145e1	ultimate_cleaned_ontology/Ленин/pss/том 21.txt	Ленин	том 21	core_self	unknown	ru	True	
src_aa32dffdfcf5171b	ultimate_cleaned_ontology/Ленин/pss/том 22.txt	Ленин	том 22	core_self	unknown	ru	True	
src_f937230863e812c8	ultimate_cleaned_ontology/Ленин/pss/том 23.txt	Ленин	том 23	core_self	unknown	ru	True	
src_7a7a61e7419ece93	ultimate_cleaned_ontology/Ленин/pss/том 24.txt	Ленин	том 24	core_self	unknown	ru	True	
src_d0346bf95ed266f2	ultimate_cleaned_ontology/Ленин/pss/том 25.txt	Ленин	том 25	core_self	unknown	ru	True	
src_095c5f3d5c53cbb4	ultimate_cleaned_ontology/Ленин/pss/том 26.txt	Ленин	том 26	core_self	unknown	ru	True	
src_d14fd741a30437b6	ultimate_cleaned_ontology/Ленин/pss/том 27.txt	Ленин	том 27	core_self	unknown	ru	True	
src_ae49dcc34bd459bd	ultimate_cleaned_ontology/Ленин/pss/том 28.txt	Ленин	том 28	core_self	unknown	ru	True	
src_a7d7f023eab0d17d	ultimate_cleaned_ontology/Ленин/pss/том 29.txt	Ленин	том 29	core_self	unknown	ru	True	
src_e469841eeae40413	ultimate_cleaned_ontology/Ленин/pss/том 3.txt	Ленин	том 3	core_self	unknown	ru	True	
src_e3079c6843274c3e	ultimate_cleaned_ontology/Ленин/pss/том 30.txt	Ленин	том 30	core_self	unknown	ru	True	
src_c8584547eb2e728c	ultimate_cleaned_ontology/Ленин/pss/том 31.txt	Ленин	том 31	core_self	unknown	ru	True	
src_f67e4d0695158a23	ultimate_cleaned_ontology/Ленин/pss/том 32.txt	Ленин	том 32	core_self	unknown	ru	True	
src_5fa59c8bde16f6da	ultimate_cleaned_ontology/Ленин/pss/том 33.txt	Ленин	том 33	core_self	unknown	ru	True	
src_e7eb374dbdf70672	ultimate_cleaned_ontology/Ленин/pss/том 34.txt	Ленин	том 34	core_self	unknown	ru	True	
src_d9f20eeb3fb4b4fb	ultimate_cleaned_ontology/Ленин/pss/том 35.txt	Ленин	том 35	core_self	unknown	ru	True	
src_23f67a1efe0f9ba3	ultimate_cleaned_ontology/Ленин/pss/том 36.txt	Ленин	том 36	core_self	unknown	ru	True	
src_dcaf0788fc3d8f11	ultimate_cleaned_ontology/Ленин/pss/том 37.txt	Ленин	том 37	core_self	unknown	ru	True	
src_bbca2327a5c91a53	ultimate_cleaned_ontology/Ленин/pss/том 38.txt	Ленин	том 38	core_self	unknown	ru	True	
src_a3c13c659f65c719	ultimate_cleaned_ontology/Ленин/pss/том 39.txt	Ленин	том 39	core_self	unknown	ru	True	
src_2a64956e925698c0	ultimate_cleaned_ontology/Ленин/pss/том 4.txt	Ленин	том 4	core_self	unknown	ru	True	
src_eff7d0a90369cbd5	ultimate_cleaned_ontology/Ленин/pss/том 40.txt	Ленин	том 40	core_self	unknown	ru	True	
src_089db2e331f6fbbd	ultimate_cleaned_ontology/Ленин/pss/том 41.txt	Ленин	том 41	core_self	unknown	ru	True	
src_6829b5a6b1b0e335	ultimate_cleaned_ontology/Ленин/pss/том 42.txt	Ленин	том 42	core_self	unknown	ru	True	
src_f9e1182273884ee2	ultimate_cleaned_ontology/Ленин/pss/том 43.txt	Ленин	том 43	core_self	unknown	ru	True	
src_10a39c1a4ee0eba7	ultimate_cleaned_ontology/Ленин/pss/том 44.txt	Ленин	том 44	core_self	unknown	ru	True	
src_da61771d732d3794	ultimate_cleaned_ontology/Ленин/pss/том 45.txt	Ленин	том 45	core_self	unknown	ru	True	
src_01c9b165436f3635	ultimate_cleaned_ontology/Ленин/pss/том 46.txt	Ленин	том 46	core_self	unknown	ru	True	
src_d0d75150177bf87a	ultimate_cleaned_ontology/Ленин/pss/том 47.txt	Ленин	том 47	core_self	unknown	ru	True	
src_22c2ac1ffdacf37e	ultimate_cleaned_ontology/Ленин/pss/том 48.txt	Ленин	том 48	core_self	unknown	ru	True	
src_c7c09192b77b20a0	ultimate_cleaned_ontology/Ленин/pss/том 49.txt	Ленин	том 49	core_self	unknown	ru	True	
src_1111f2648afffce6	ultimate_cleaned_ontology/Ленин/pss/том 5.txt	Ленин	том 5	core_self	unknown	ru	True	
src_9b1f8f45c89fab6c	ultimate_cleaned_ontology/Ленин/pss/том 50.txt	Ленин	том 50	core_self	unknown	ru	True	
src_e5f1be2c3ce990d9	ultimate_cleaned_ontology/Ленин/pss/том 51.txt	Ленин	том 51	core_self	unknown	ru	True	
src_6865e59f5677ed86	ultimate_cleaned_ontology/Ленин/pss/том 52.txt	Ленин	том 52	core_self	unknown	ru	True	
src_3a5153d4b8fabea6	ultimate_cleaned_ontology/Ленин/pss/том 53.txt	Ленин	том 53	core_self	unknown	ru	True	
src_c39f1f8b00e34747	ultimate_cleaned_ontology/Ленин/pss/том 54.txt	Ленин	том 54	core_self	unknown	ru	True	
src_a558bc23b51843d2	ultimate_cleaned_ontology/Ленин/pss/том 55.txt	Ленин	том 55	core_self	unknown	ru	True	
src_762f42d07fa843d1	ultimate_cleaned_ontology/Ленин/pss/том 6.txt	Ленин	том 6	core_self	unknown	ru	True	
src_f6e495b4737de89b	ultimate_cleaned_ontology/Ленин/pss/том 7.txt	Ленин	том 7	core_self	unknown	ru	True	
src_f91630d5ebb71cf8	ultimate_cleaned_ontology/Ленин/pss/том 8.txt	Ленин	том 8	core_self	unknown	ru	True	
src_4329fa7fd93cfee5	ultimate_cleaned_ontology/Ленин/pss/том 9.txt	Ленин	том 9	core_self	unknown	ru	True	
src_8516377306aeefbf	ultimate_cleaned_ontology/Ленин/single/Карл Маркс (краткий биографический очерк с изложением марксизма).txt	Ленин	Карл Маркс (краткий биографический очерк с изложением марксизма)	core_self	unknown	ru	True	
src_93f64a365acfb527	ultimate_cleaned_ontology/Ленин/single/Материализм и эмпириокритицизм.txt	Ленин	Материализм и эмпириокритицизм	core_self	unknown	ru	True	
src_9a9e04db188b8572	ultimate_cleaned_ontology/Ленин/single/Письма к Горькому.txt	Ленин	Письма к Горькому	core_self	unknown	ru	True	
src_32e3bcb13ee5afa0	ultimate_cleaned_ontology/Ленин/single/Три источника и три составных части марксизма.txt	Ленин	Три источника и три составных части марксизма	core_self	unknown	ru	True	
src_a7d6ea37e9deb118	ultimate_cleaned_ontology/Ленин/single/Философские тетради.txt	Ленин	Философские тетради	core_self	unknown	ru	True	
src_4f894d6d17bcb978	ultimate_cleaned_ontology/МарксЭнгельс/Капитал.txt	МарксЭнгельс	Капитал	influence_agree	unknown	ru	True	
src_5a72fe2c212d9ff0	ultimate_cleaned_ontology/МарксЭнгельс/Святое семейство.txt	МарксЭнгельс	Святое семейство	influence_agree	unknown	ru	True	
src_2d2c0832c5e14332	ultimate_cleaned_ontology/Мах/Анализ ощущений.txt	Мах	Анализ ощущений	contextual	unknown	ru	True	
src_33717a37ff1e1ded	ultimate_cleaned_ontology/Плеханов/к вопросу о развитии монистического взгляда на историю.txt	Плеханов	к вопросу о развитии монистического взгляда на историю	contextual	unknown	ru	True	
src_0d2e0a4f2bb64c8e	ultimate_cleaned_ontology/Пуанкаре/о науке.txt	Пуанкаре	о науке	contextual	unknown	ru	True	
src_41b1a1487073cd99	ultimate_cleaned_ontology/Фейербах/История философии.txt	Фейербах	История философии	contextual	unknown	ru	True	
src_a11e9525703b73eb	ultimate_cleaned_ontology/Фейербах/Сущность христианства.txt	Фейербах	Сущность христианства	contextual	unknown	ru	True	
src_91621ea6a02d49d6	ultimate_cleaned_ontology/Чернышевский/Антропологический принцип.txt	Чернышевский	Антропологический принцип	contextual	unknown	ru	True	
